wall_time,ros_time_sec,elapsed_sec,has_ready,driver_ready,ready_age_sec,has_state,state_age_sec,state_size,has_command,command_age_sec,command_size,service_mode,service_suction,service_pick,service_place,service_stack,service_payload_estimate,service_payload_state,service_arm_mission,service_nav_arm_event,action_move_joint,has_nav_state,nav_state_age_sec,nav_state_x,nav_state_y,nav_state_yaw,has_nav_task_points,nav_task_points_age_sec,nav_task_points_count,nav_task_points_min_id,nav_task_points_max_id,nav_task_points_summary,has_nav_mission_request,nav_mission_request_age_sec,nav_mission_action,nav_mission_task_index,nav_mission_point_id,nav_mission_x,nav_mission_y,has_nav_mission_response,nav_mission_response_age_sec,nav_mission_response_success,nav_mission_response_message,has_nav_arm_event_request,nav_arm_event_request_age_sec,nav_arm_event_request_message,has_nav_arm_event_response,nav_arm_event_response_age_sec,nav_arm_event_response_success,nav_arm_event_response_message,state_valid_0,state_q_rad_0,state_q_deg_0,state_dq_0,state_tau_est_0,state_valid_1,state_q_rad_1,state_q_deg_1,state_dq_1,state_tau_est_1,state_valid_2,state_q_rad_2,state_q_deg_2,state_dq_2,state_tau_est_2,state_valid_3,state_q_rad_3,state_q_deg_3,state_dq_3,state_tau_est_3,state_valid_4,state_q_rad_4,state_q_deg_4,state_dq_4,state_tau_est_4,cmd_q_rad_0,cmd_q_deg_0,cmd_dq_0,cmd_tau_0,cmd_kp_0,cmd_kd_0,cmd_q_rad_1,cmd_q_deg_1,cmd_dq_1,cmd_tau_1,cmd_kp_1,cmd_kd_1,cmd_q_rad_2,cmd_q_deg_2,cmd_dq_2,cmd_tau_2,cmd_kp_2,cmd_kd_2,cmd_q_rad_3,cmd_q_deg_3,cmd_dq_3,cmd_tau_3,cmd_kp_3,cmd_kd_3,cmd_q_rad_4,cmd_q_deg_4,cmd_dq_4,cmd_tau_4,cmd_kp_4,cmd_kd_4
2026-07-04 18:19:54.620,1783160394.620440483,1.029557311,1,1,0.889834708,1,0.009045114,5,1,0.005647303,5,1,0,1,0,0,1,1,0,1,1,1,0.024894054,-1.120000000,1.590000000,0.000000000,1,0.101980288,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,0.007326126,-0.012209892,1,3.134677172,179.603772075,-0.002442360,-2.714529037,1,-2.880847216,-165.060386879,-0.002442360,2.673503876,1,-0.193980217,-11.114247742,-0.007326126,0.422466278,1,0.870329857,49.866227583,-0.036628723,-0.003663063,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:19:55.620,1783160395.620420456,2.029536973,1,1,1.889814370,1,0.008749713,5,1,0.005775051,5,1,0,1,0,0,1,1,0,1,1,1,0.221135769,-1.120000000,1.590000000,0.000000000,1,1.101959950,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,0.007326126,-0.012209892,1,3.134677172,179.603772075,-0.007326126,-2.728204727,1,-2.880847216,-165.060386879,-0.002442360,2.673503876,1,-0.193980217,-11.114247742,-0.007326126,0.422466278,1,0.870329857,49.866227583,-0.061050415,-0.003663063,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:19:56.620,1783160396.620443344,3.029559986,1,1,2.889837383,1,0.008401244,5,1,0.005487990,5,1,0,1,0,0,1,1,0,1,1,1,0.046007118,-1.120000000,1.590000000,0.000000000,1,2.101982963,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,-0.007326126,-0.012209892,1,3.134677172,179.603772075,-0.002442360,-2.714529037,1,-2.880847216,-165.060386879,-0.002442360,2.673503876,1,-0.193598747,-11.092391137,0.007326126,0.422466278,1,0.870713234,49.888193471,-0.012210846,-0.003663063,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:19:57.620,1783160397.620324850,4.029441650,1,1,3.889719047,1,0.008991844,5,1,0.005745240,5,1,0,1,0,0,1,1,1,1,1,1,0.072951923,-1.120000000,1.590000000,0.000000000,1,3.101864627,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,-0.007326126,-0.012209892,1,3.134677172,179.603772075,-0.002442360,-2.714529037,1,-2.880847216,-165.060386879,-0.007326126,2.673503876,1,-0.193980217,-11.114247742,0.007326126,0.422466278,1,0.870329857,49.866227583,-0.012210846,-0.003663063,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:19:58.620,1783160398.620354414,5.029471011,1,1,4.889748408,1,0.009165293,5,1,0.005656078,5,1,0,1,0,0,1,1,1,1,1,1,0.061132291,-1.120000000,1.590000000,0.000000000,1,4.101893988,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,-0.021978378,-0.012209892,1,3.134677172,179.603772075,-0.002442360,-2.714529037,1,-2.880847216,-165.060386879,-0.007326126,2.673503876,1,-0.193980217,-11.114247742,-0.007326126,0.422466278,1,0.870329857,49.866227583,-0.036628723,-0.003663063,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:19:59.620,1783160399.620280266,6.029397074,1,1,5.889674471,1,0.008990823,5,1,0.005717960,5,1,0,1,0,0,1,1,1,1,1,1,0.003418963,-1.120000000,1.590000000,0.000000000,1,5.101820051,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,-0.007326126,-0.012209892,1,3.134677172,179.603772075,-0.002442360,-2.728204727,1,-2.880847216,-165.060386879,-0.002442360,2.673503876,1,-0.193980217,-11.114247742,-0.007326126,0.422466278,1,0.870329857,49.866227583,-0.012210846,-0.001221180,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:20:00.620,1783160400.620294094,7.029410930,1,1,6.889688327,1,0.009015649,5,1,0.005634067,5,1,0,1,0,0,1,1,1,1,1,1,0.030487114,-1.120000000,1.590000000,0.000000000,1,6.101833907,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,-0.021978378,-0.012209892,1,3.134677172,179.603772075,-0.002442360,-2.728204727,1,-2.880847216,-165.060386879,-0.002442360,2.673503876,1,-0.193980217,-11.114247742,-0.021978378,0.422466278,1,0.870329857,49.866227583,-0.012210846,-0.001221180,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:20:01.620,1783160401.620215654,8.029332327,1,1,7.889609724,1,0.008669908,5,1,0.005719829,5,1,0,1,0,0,1,1,1,1,1,1,0.052673107,-1.120000000,1.590000000,0.000000000,1,7.101755304,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,0.007326126,-0.012209892,1,3.134677172,179.603772075,-0.002442360,-2.714529037,1,-2.880847216,-165.060386879,-0.002442360,2.687179565,1,-0.193980217,-11.114247742,-0.021978378,0.422466278,1,0.870329857,49.866227583,-0.012210846,-0.003663063,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:20:02.620,1783160402.620241642,9.029358449,1,1,8.889635846,1,0.008624252,5,1,0.005558814,5,1,0,1,0,0,1,1,1,1,1,1,0.127006456,-1.120000000,1.590000000,0.000000000,1,8.101781426,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,-0.007326126,-0.017093658,1,3.134677172,179.603772075,-0.002442360,-2.714529037,1,-2.880847216,-165.060386879,0.002442360,2.673503876,1,-0.193980217,-11.114247742,-0.021978378,0.422466278,1,0.870329857,49.866227583,-0.036628723,-0.003663063,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
2026-07-04 18:20:03.620,1783160403.620203733,10.029320536,1,1,9.889597933,1,0.008918670,5,1,0.005680818,5,1,0,1,0,0,1,1,1,1,1,1,0.046960540,-1.120000000,1.590000000,0.000000000,1,9.101743513,12,1,12,1:-1.251:2.428|2:-0.428:2.425|3:0.392:2.424|4:1.223:2.419|5:1.228:1.589|6:0.405:1.588|7:-0.440:1.588|8:-1.261:1.589|9:-1.185:4.911|10:-0.390:4.902|11:0.375:4.903|12:1.182:4.901,0,-1.000000000,,0,0,0.000000000,0.000000000,0,-1.000000000,0,,0,-1.000000000,,0,-1.000000000,0,,1,-0.063950159,-3.664074190,-0.007326126,-0.012209892,1,3.134677172,179.603772075,-0.002442360,-2.714529037,1,-2.880847216,-165.060386879,-0.002442360,2.673503876,1,-0.193980217,-11.114247742,-0.007326126,0.422466278,1,0.870329857,49.866227583,-0.036628723,-0.003663063,-0.063950159,-3.664074190,0.000000000,-0.000000000,2.000000000,1.000000000,3.143832445,180.128330603,0.000000000,-2.770716190,8.500000000,2.500000000,-2.881228685,-165.082243484,0.000000000,2.694160938,3.000000000,0.800000012,-0.194361687,-11.136104347,0.000000000,0.431225687,1.200000048,0.200000003,0.870713234,49.888193471,0.000000000,0.000140909,0.100000001,0.020000000
